A test of CPS4 units
  9 1 1 1
  1 1 1 1 1 1 1  0 0  0
  2 1 1 1 1 1 1  4 0  0
  3 1 1 1 1 1 1  8 0 0
  4 1 1 1 1 1 1  0 4 0
  5 0 0 0 0 0 1  4 4 0
  6 1 1 1 1 1 1  8 4 0
  7 1 1 1 1 1 1  0 8 0
  8 1 1 1 1 1 1  4 8 0
  9 1 1 1 1 1 1  8 8 0
  1 19
  1 3 -4.
  1 4 -2.66666667
  1 5 2.66666667
  2 3 -8.
2  5  5.33333333
3 3 -4.
3 4 2.66666667
3 5 2.66666667
4 3 -8.
5 3 -16.
6 3 -8.
7 3 -4.
7 4 2.66666667
7 5 -2.66666667
8 3 -8.
8 5 -5.33333333
9 3 -4.
9 4 -2.66666667
9 5 -2.66666667
  7 4 1
  1 2E11 1e-2 0.3 1   
  1 1 2 5 4 1
  2 2 3 6 5 1
  3 4 5 8 7 1
  4 5 6 9 8 1  
stop


 

